id,track_name,artist_ids,artist_names,album_id,album_name,release_date,duration,uri,playlist_offset,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1NjkQKN7Fvi9hrYRCljVSs,Mod Aki Kasa,5qK8WYVzvkaBcoe4CDfuyY,KUNTARI,6tf8KKUz2s11zLiP5HNqKL,Pararatronic,2022-02-11,226.0,spotify:track:1NjkQKN7Fvi9hrYRCljVSs,2542,0.635,0.187,0.181,0.878,0.0844,-19.358,0.046,94.479,0.0359
3Vfo865Yr5mHMj1faWsYzM,Parasite Signal,0FJTTwSyFG3TnPYs0Gwuwr,Artificial Brain,1Fr7G1bJ0DvaZk3Gd0BfIp,Parasite Signal,2022-05-05,185.537,spotify:track:3Vfo865Yr5mHMj1faWsYzM,2543,4.23e-05,0.193,0.902,0.925,0.287,-9.632,0.0679,180.217,0.0444
5jmsMpuGT89j9llDgCS2bH,Parasitic Dawn,3Y4rSzRJtF7NOMIlTADYNr,The Wind in the Trees,0q4nC9gtJIGcPde6ETUnR5,Parasitic Dawn,2022-06-01,82.875,spotify:track:5jmsMpuGT89j9llDgCS2bH,2544,8.31e-06,0.173,0.944,0.988,0.661,-9.792,0.0765,70.736,0.134
0ajJYhORqGaKmQDMkmFu84,Conflict Cartography,65C6Unk7nhg2aCnVuAPMo8,Animals As Leaders,0drWek4H5NfTa2BWAFA3iB,Parrhesia,2022-03-25,300.08,spotify:track:0ajJYhORqGaKmQDMkmFu84,2545,6.51e-05,0.265,0.982,0.839,0.21,-4.529,0.179,139.65,0.373
55OB1bY0fjE6IS13s227yg,Micro-Aggressions,65C6Unk7nhg2aCnVuAPMo8,Animals As Leaders,0drWek4H5NfTa2BWAFA3iB,Parrhesia,2022-03-25,250.946,spotify:track:55OB1bY0fjE6IS13s227yg,2546,0.0149,0.374,0.957,0.744,0.0651,-5.196,0.3,119.959,0.332
4u8kaEpeqCNakSjKvHJmgv,P.A.R.T.Y.,3OpqU68JpZlzvjAJj3B2Da,Alestorm,0GThAZZXkQ8PVzqkT5XfBx,P.A.R.T.Y.,2022-05-04,203.118,spotify:track:4u8kaEpeqCNakSjKvHJmgv,2547,0.000138,0.522,0.963,7.57e-05,0.278,-6.037,0.0541,139.99,0.573
2VWrUXWBRCYdBXP1jp3m3t,Party March,2mkGbwg4uYaUlmQDZpga27,Stöner,4NRrqKhvRUQnINIPY8mikL,Party March,2022-03-17,232.146,spotify:track:2VWrUXWBRCYdBXP1jp3m3t,2548,0.00368,0.461,0.913,0.488,0.617,-6.743,0.0399,101.995,0.538
1kuonKc6InsXX82cN84jzf,Party Sized Away Day,"3quU3O7dYbKICZ0m2CsodL,7LJfvf563pUNTWVHv9iRuE","Acid Klaus,Maria Uzor",6nTtlqybFtaN6vlo8ocWgc,Party Sized Away Day,2022-05-23,310.466,spotify:track:1kuonKc6InsXX82cN84jzf,2549,0.0209,0.722,0.774,0.895,0.544,-12.125,0.0468,127.993,0.365
5EHwfCAy4BvX1zhcg6M6g1,A Past Embrace,2qXHYRTtZytxMMfO9pW1V9,156/Silence,37b4iIjuP0hN9yvS1MhyIg,A Past Embrace,2022-05-06,243.626,spotify:track:5EHwfCAy4BvX1zhcg6M6g1,2550,0.000141,0.533,0.905,0.898,0.32,-4.633,0.0449,131.046,0.104
2vqwqfjNdJi9oLhD8wUwHb,Sinister Smile,5fN7QZumpTbySswZyiWKXn,Papercuts,46haRq08MM0GIXj1r7WHWw,Past Life Regression,2022-04-01,244.402,spotify:track:2vqwqfjNdJi9oLhD8wUwHb,2551,0.0578,0.331,0.702,0.468,0.067,-7.278,0.0315,172.152,0.728
1NKjucBIJZW67Q6MAD96dM,Path,6LRMOu9O4czC6WcNZWIpOh,Tess Roby,0gR17mkWzcgXjWbwQCMHyc,Path,2022-04-05,208.399,spotify:track:1NKjucBIJZW67Q6MAD96dM,2552,0.872,0.525,0.393,0.244,0.105,-14.44,0.0388,107.993,0.0474
4qzSLpZMaKm1kI5qC9mXY1,A Path Beyond Grief,3oALWU6CXB1vFH4RwILq5E,Northless,3kI4VK1DntdZa1jIP77wid,A Path Beyond Grief,2022-05-27,322.896,spotify:track:4qzSLpZMaKm1kI5qC9mXY1,2553,3e-06,0.258,0.889,0.724,0.113,-4.583,0.0427,169.966,0.491
5bIINwt4lKwykAIEfCBuZX,Lament The Death Of Wonder,0XIiwN8gAidh4pQyVVgRUd,Obsidian Sea,5cySRuNpeHJ5KjwXkHTHkA,Pathos,2022-02-04,378.627,spotify:track:5bIINwt4lKwykAIEfCBuZX,2554,0.000232,0.299,0.709,0.0817,0.187,-9.589,0.0374,120.607,0.468
27cAbWclcJyHZAKJTB16JJ,Basilisk,38eUVFRyGFT6VnEbaFRScQ,Conjurer,602wn38YItSknzxdpiXl69,Páthos,2022-07-01,314.293,spotify:track:27cAbWclcJyHZAKJTB16JJ,2555,0.00897,0.351,0.904,0.661,0.0761,-5.076,0.104,119.196,0.104
